ah,O 
Operation,Op4r3SIn 
Opportunity,Op^t(nIti 
Oprah,6pr4 
Opry,Opri 
Optima,OptIm4 
Orange,6rIndy 
Orchestra,6rkIstr4 
Orchid,6rkId 
Order,6rd^ 
Ordinary,6rdIn^i 
Oregon,6rIgOn 
Oregon's,6rIgOnz 
Orel,6r4l 
Oreo,6ri6 
Oreos,6ri6z 
Organic,6rgAnIk 
Organization,6rg4nIz3SIn 
Orient,6ri2t 
Oriental,6ri2t4l 
Orientals,6ri2t4lz 
Original,4rIdyIn4l 
Orinoco,6rIn6k6 
Oriole,6ri6l 
Orioles,6ri6lz 
Orlando,6rlAnd6 
Orleans,6rli4nz 
Orwell,6rw7 
Oscar,Osk^ 
Oscars,Osk^z 
Oshman's,OSm4nz 
Oshmid,OSmId 
Oswald,ozwold 
Othello,OF76 
Other,0D^ 
Otis,6tIs 
Ottawa,Ot4w4 
Ottenheimer,OtInhYm^ 
Ottoman,Ot4m4n 
Our,5^ 
Out,5t 
Outdoor,5td6r 
Outside,5tsYd 
Over,6v^ 
Oviedo,6vi3d6 
Owens,6w4nz 
Owners,6n^z 
Oxbridge,OksbrIdy 
Oxford,Oksf^d 
Ozarks,6zOrks 
P,pi 
PAC,pAk 
PACs,pAks 
PB,pibi 
PBS,pibies 
PC,pisi 
PC's,pisiz 
PCAT,pikAt 
PCP,pisipi 
PCV,pisivi 
PCs,pisiz 
PE,pii 
PFM,pief9 
PG,pidyi 
PG's,pidyiz 
PGA,pidyi3 
PGs,pidyiz 
PIE,piYi 
PIN,pIn 
PJ,pidy3 
PLO,pi76 
PM,pi9 
POW,pi6d0b4ly( 
POW's,pi6d0b4ly(z 
PPOs,pipi6z 
PR,piOr 
PS,pies 
PSI,piesY 
PT,piti 
PTA,piti3 
PTA's,piti3z 
PTO,piti6 
PVC,pivisi 
Pablo,pObl6 
Pac-10,pAkt2 
Pacers,p3s^z 
Pacific,p4sIfIk 
Pack,pAk 
Packard,pAk^d 
Packards,pAk^dz 
Packers,pAk^z 
Pact,pAkt 
Paddington,pAdIGt4n 
Padre,pOdr3 
Padres,pOdr3z 
Paella,p374 
Page,p3dy 
Pages,p3dyIz 
Pagosa,p4g6s4 
Pains,p3nz 
Paint,p3nt 
Painted,p3ntId 
Pakistan,pAkIstAn 
Pakistani,pAkIstAni 
Palace,pAlIs 
Palance,p4lAns 
Palestine,pAlIstYn 
Palestinian,pAlIstIniIn 
Palestinians,pAlIstIniInz 
Pallab,pOl4b 
Palley,pAli 
Palm,pOm 
Palmer,pOm^ 
Palmer's,pOm^z 
Palo,pAl6 
Pam,pAm 
Pamela,pAm4l4 
Pan,pAn 
Panama,pAn4mO 
Panamanian,pAn4m3niIn 
Panamanians,pAn4m3niInz 
Panasonic,pAn4sOnIk 
Pancho,pOnty6 
Pancho's,pOnty6z 
Pandora's,pAnd6r4z 
Panhandle,pAnhAnd4l 
Pans,pAnz 
Pao,p5 
Paolo,p5l6 
Papa,pOp4 
Paper,p3p^ 
Paperback,p3p^bAk 
Papillon,pOpion 
Papillon's,pOpionz 
Pappasito's,pOp4sit6z 
Para,pAr4 
Parade,p4r3d 
Paradeso,pOr4d3s6 
Paradise,pAr4dYs 
Paradox,pAr4dOks 
Parasitology,pAr4sItOl4dyi 
Parcells,pOrs7z 
Parcheesi,pOrtyizi 
Parchman,pOrtym4n 
Parent,pArInt 
Parenthood,pArInFhud 
Parenting,pArIntIG 
Parents,pArInts 
Paris,pArIs 
Parish,pArIS 
Parisian,p4rIZIn 
Park,pOrk 
Park's,pOrks 
Parker,pOrk^ 
Parkinson's,pOrkIns4nz 
Parkland,pOrkl4nd 
Parks,pOrks 
Parkview,pOrkvy( 
Parkway,pOrkw3 
Parliament,pOrl4mInt 
Parliament's,pOrl4mIntz 
Parmesan,pOrm4ZOn 
Paroe,pAr6 
Parrish,pArIS 
Parrishes,pArISIz 
Part,pOrt 
Parton,pOrt2 
Partridge,pOrtrIdy 
Parts,pOrts 
Party,pOrti 
Party's,pOrtiz 
Pasadena,pAs4din4 
Pascal,pAskAl 
Paso,pAs6 
Paso's,pAs6z 
Pass,pAs 
Passage,pAsIdy 
Passbook,pAsbuk 
Passover,pAs6v^ 
Past,pAst 
Pasta,pOst4 
Pastoral,pAst4r4l 
Pat,pAt 
Patavani,p4t4v4ni 
Patch,pAty 
Pathology,p4FOl4dyi 
Patrice,p4tris 
Patricia,p4trIS4 
Patrick,pAtrIk 
Patrick's,pAtrIks 
Patriot,p3triIt 
Patriots,p3triIts 
Patsy,pAtsi 
Patterson,pAt^s4n 
Patterson's,pAt^s4nz 
Patty,pAti 
Pauken,pok4n 
Paul,pol 
Paula,pol4 
Paulo,pol6 
Paveway,p3vw3 
Pavilion,p4vIly4n 
Paw-Paw,popo 
Pay-Per-View,p3p^vy( 
Payless,p3les 
Payton,p3t2 
Paz,pOz 
Pea,pi 
Peace,pis 
Peachtree,pitytri 
Peak,pik 
Peaks,piks 
Pearce,pirs 
Pearson,pirs4n 
Pebble,peb4l 
Pecanseed,p4kOnsid 
Peck,pek 
Pecos,pek6s 
Pedro,p3dr6 
Pee,pi 
Peggy,pegi 
Pei,p3 
Pekingese,pIk4niz 
Pell,p7 
Pell's,p7z 
Penders,p2d^z 
Penn,p2 
Penney,p2i 
Penney's,p2iz 
Pennock,p2Ok 
Pennsylvania,p2s4lv3ny4 
Pennsylvania's,p2s4lv3ny4z 
Pennsylvanian,p2s4lv3ny4n 
Pennsylvanians,p2s4lv3ny4nz 
Penny,p2i 
Penny's,p2iz 
Pennzoil,p2z8l 
Pensacola,p2s4k6l4 
Pentagon,p2t4gOn 
Pentecostal,p2t4kost4l 
Peonies,pi4niz 
People,pip4l 
People's,pip4lz 
Peoria,pi6ri4 
Pep,pep 
Pepper,pep^ 
Pepper's,pep^z 
Peppers,pep^z 
Pepsi,pepsi 
Pepsico,pepsik6 
Pequine,pikwYn 
Peretti,p4reti 
Peretti's,p4retiz 
Perfect,p^fekt 
Performances,p^f6rmInsIz 
Period,pIri4d 
Perkins,p^kInz 
Permanent,p^m4nInt 
Perot,p4r6 
Perot's,p4r6z 
Perpetual,p^pety(4l 
Perrins,p^Inz 
Perry,p^i 
Persia,p^Z4 
Persian,p^ZIn 
Persians,p^ZInz 
Peru,p4r( 
Peruvians,p4r(viInz 
Pete,pit 
Peter,pit^ 
Petersburg,pit^zb^g 
Petite,p4tit 
Petra,petr4 
Petralli,petroli 
Petty,peti 
Pfeiffer,fYf^ 
PhD,pi3tydi 
PhD's,pi3tydiz 
Phantom,fAnt4m 
Phedalio,fId4li6 
Phi,fY 
Phil,fIl 
Phil's,fIlz 
Philadelphia,fIl4d7fi4 
Philadelphia's,fIl4d7fi4z 
Philippines,fIlIpinz 
Philistine,fIlIstin 
Phillies,fIliz 
Phillip,fIlIp 
Phillips,fIlIps 
Philmont,fIlmOnt 
Philmont's,fIlmOnts 
Philosophy,fIlOs4fi 
Phoenix,finIks 
Phoenixville,finIksvIl 
Physics,fIzIks 
Piano,piAn6 
Picante,pIkOnti 
Picasso,pIkOs6 
Picci's,pItyiz 
Picked,pIkt 
Pickett's,pIkIts 
Pico,pik6 
Pictionary,pIkSIn^i 
Picture,pIkty^ 
Piedmont,pidmOnt 
Pierce,pirs 
Piercing,pirsIG 
Pierre,pi^ 
Pig,pIg 
Pike,pYk 
Pike's,pYks 
Pikes,pYks 
Pilgrim,pILr4m 
Pillsbury,pIlzb^i 
Pinball,pInbol 
Pine,pYn 
Pinella,pIn74 
Pines,pYnz 
Piney,pYni 
Pink,pIGk 
Pinkett,pIGkIt 
Pinscher,pInty^ 
Pinschers,pInty^z 
Pinto,pInt6 
Pioneers,pY4nirz 
Piper,pYp^ 
Pippen,pip2 
Pirate,pYrIt 
Pirates,pYrIts 
Pistols,pIst4lz 
Pistons,pIst4nz 
Pit,pIt 
Pitney,pItni 
Pitt,pIt 
Pittsburgh,pItsb^g 
Pittsburgh's,pItsb^gz 
Pizza,pits4 
Pizzaria,pits4ri4 
Place,pl3s 
Placid,plAsId 
Plain,pl3n 
Plains,pl3nz 
Plan,plAn 
Planet,plAnIt 
Planner,plAn^ 
Plano,pl3n6 
Plano's,pl3n6z 
Planoite,pl3n6Yt 
Plant,plAnt 
Plantation,plAnt3SIn 
Plata,plAt4 
Platoon,pl4t(n 
Platte,plAt 
Platters,plAt^z 
Plattsburgh,plAtsb^g 
Plattsburgh's,plAtsb^gz 
Play,pl3 
Playboys,pl3b8z 
Player's,pl3^z 
Playhouse,pl3h5s 
Playtex,pl3teks 
Plaza,plOz4 
Plexiglas,pleksIglAs 
Plus,pl0s 
Plutonium,pl(t6ni4m 
Plymouth,plIm4F 
Poet's,p6Its 
Poets,p6Its 
Pogo,p6g6 
Poindexter,p8ndekst^ 
Point,p8nt 
Pointer,p8nt^ 
Poison,p8zIn 
Poisons,p8zInz 
Poland,p6l4nd 
Pole,p6l 
Poles,p6lz 
Police,p4lis 
Policemen's,p4lism4nz 
Polish,pOlIS 
Political,p4lItIk4l 
Polk,p6k 
Polly,poli 
Polo,p6l6 
Poly,pOli 
Polynesian,pol4niZIn 
Pomeranian,pOm4r3niIn 
Pomona,p4m6n4 
Pontiac,pOntiAk 
Pontiacs,pOntiAks 
Ponty,pOnti 
Poodle,p(d4l 
Pooh,p( 
Pool,p(l 
Poole,p(l 
Popaginos,pOp4dyin6z 
Pope,p6p 
Popeye's,pOpYz 
Poppins,pOpInz 
Pops,pOps 
Popular,pOpy4l^ 
Porch,p6rty 
Pork,p6rk 
Porky,p6rki 
Porsche,p6rS 
Porsche's,p6rSIz 
Porsches,p6rSIz 
Port,p6rt 
Port-a-Pots,p6rt4pOts 
Porta,p6rt4 
Portland,p6rtl4nd 
Portland's,p6rtl4ndz 
Portola,p6rt6l4 
Portsmith,p6rtsmIF 
Portsmouth,p6rtsm4F 
Portugal,p6rty4g4l 
Portuguese,p6rty4giz 
Possum,pOs4m 
Post,p6st 
Postgraduate,p6stgrAdy(It 
Potomac,p4t6m4k 
Poverty,pOv^ti 
Povich,p6vIty 
Powell,p54l 
Power,p5^ 
Practical,prAktIk4l 
Practice,prAktIs 
Prairie,pr3ri 
Pratt,prAt 
Pratt's,prAts 
Precious,preSIs 
Prejudice,predyIdIs 
Prelude,pr7y(d 
Premier,pr4mir 
Presby,prezbi 
Presbyterian,prezbItiriIn 
Prescott,preskOt 
Present,prezInt 
Preserves,prIz^vz 
Presidency,prezIdInsi 
President,prezIdInt 
President's,presIdInts 
Presidential,prezId2ty4l 
Presidents,prezIdInts 
Presley,presli 
Press,pres 
Preston,prest4n 
Prestonwood,prest4nwud 
Presumed,prIz(md 
Pretax,prItAks 
Pretty,prIti 
Prevention,pr4v2SIn 
Price,prYs 
Price's,prYsIz 
Pride,prYd 
Primavera,prim4v^4 
Prime,prYm 
Primerica,prYm^Ik4 
Primus,prYm4s 
Prince,prIns 
Princess,prInses 
Princesses,prInsesIz 
Princeton,prInst4n 
Printer,prInt^ 
Prior,prYr 
Prissy,prIsi 
Prix,pri 
Pro,pr6 
Probe,pr6b 
Problem,prObl4m 
Processing,prOsesIG 
Proclamation,prOkl4m3SIn 
Proctor,prOkt^ 
Prodigy,prOdIdyi 
Productions,prOd0kSInz 
Professional,pr4feSIn4l 
Professor,pr4fes^ 
Profit,prOfIt 
Program,pr6grAm 
Program's,pr6grAmz 
Programs,pr6grAmz 
Progress,prOgres 
Progressive,pr4gresIv 
Project,prOdyekt 
Promenade,prOmIn3d 
Promised,prOmIst 
Proposition,prOp4zISIn 
Pros,pr6z 
Protection,pr4tekSIn 
Protestant,prOtIstInt 
Protestants,prOtIstInts 
Providence,prOvIdIns 
Provo,pr6v6 
Prudential,pr(d2S4l 
Psycho,sYk6 
Psychology,sYkOl4dyi 
Public,p0blIk 
Publisher,p0blIS^ 
Publisher's,p0blIS^z 
Puccini,p(tyini 
Puerto,pw^t6 
Puget,py(dyIt 
Pullman,pulm4n 
Pumpkin,p0mpkIn 
Purchase,p^tyIs 
Purdis,p^dIs 
Purdue,p^d( 
Purdue's,p^d(z 
Purina,pyurin4 
Purple,p^p4l 
Pursuit,p^s(t 
Putt,p0t 
Pyrex,pYreks 
Python,pYFOn 
Q,ky( 
Q-Office,ky(ofIs 
QRA,ky(Or3 
Quadalampor,kwOdr4lAmp6r 
Quadra,kwOd0 
Quadrajet,kwOdr4dyet 
Quadratron,kwOdr4trOn 
Quaker,kw3k^ 
Quality,kwolIti 
Quandra,kwOndr4 
Quansett,kwOnset 
Quantum,kwOnt4m 
Quarter,kw6rt^ 
Quarterback,kw6rt^bAk 
Quarters,kw6rt^z 
Quayle,kw3l 
Quebec,kw4bek 
Queen,kwin 
Queen's,kwinz 
Queens,kwinz 
Quest,kwest 
Question,kwestyIn 
Quicken,kwIk4n 
Quik,kwIk 
Quingdao,kIGdo 
Quinn,kwIn 
Quixote,kIh6t3 
Quonset,kwOns4t 
Quorum,kw6r4m 
R,Or 
R's,Orz 
RAM,rAm 
RBI,OrbiY 
RBIs,OrbiYz 
RBQ,Orbiky( 
RC,Orsi 
RCA,Orsi3 
REM,Ori9 
REO,Ori6 
RN,Or2 
RNs,Or2s 
ROTC,Or6tisi 
RPM,Orpi9 
RTC,Ortisi 
RV,Orvi 
RVer,Orvi^ 
RVs,Orvis 
RX,Oreks 
RX7,Orekssev2 
Rabbit,rAbIt 
Rabbit's,rAbIts 
Racine,r4sin 
Radar,r3dOr 
Radcliff,rAdklIf 
Radio,r3di6 
Radner,rAdn^ 
Rafael,rOf37 
Raggedy,rAgIdi 
Ragsdale,rAgzd3l 
Raid,r3d 
Raider,r3d^ 
Raiders,r3d^z 
Railroad,r3lr6d 
Rain,r3n 
Raines,r3nz 
Rainman,r3nmAn 
Raise,r3z 
Rait,rYt 
Raleigh,roli 
Raleigh's,roliz 
Ralph,rAlf 
Ralph's,rAlfs 
Ralphie's,rAlfiz 
Ralphster,rAlfst^ 
Ramada,r4mOd4 
Ramblers,rAmbl^z 
Rambo,rAmb6 
Rams,rAmz 
Ranch,rAnty 
Randal,rAnd4l 
Randall,rAnd4l 
Randall's,rAnd4lz 
Randi,rAndi 
Randolph,rAndOlf 
Randy,rAndi 
Range,r3ndy 
Ranger,r3ndy^ 
Ranger's,r3ndy^z 
Rangers,r3ndy^z 
Rangers',r3ndy^z 
Ranier,r3nir 
Rap,rAp 
Raphael,rAfi7 
Raphael's,rAfi7z 
Rapid,rApId 
Rapids,rApIdz 
Rascal,rAsk4l 
Rash,rAS 
Rashad,r4SOd 
Raspegie,rAspigi 
Rather,rAD^ 
Rathers,rAD^z 
Raton,rAt2 
Ravi,rOvi 
Rawhide,rohYd 
Ray,r3 
Rayburn,r3b^n 
Razor's,r3z^z 
Razzoo's,rAz(z 
Reader,rid^ 
Reader's,rid^z 
Readers',rid^z 
Reading,redIG 
Ready,redi 
Reagan,r3g4n 
Reagan's,r3g4nz 
Rear,rir 
Reason,rizIn 
Reasonable,rizIn4b4l 
Reba,rib4 
Rebecca,r4bek4 
Rebels,reb4lz 
Rec,rek 
Recall,rIkol 
Record,rek^d 
Records,rek^dz 
Recreation,rekri3SIn 
Recycles,rIsYk4lz 
Recycling,rIsYk4lIG 
Red,red 
Redbird,redb^d 
Redbook,redbuk 
Redd,red 
Redding,redIG 
Redfish,redfIS 
Redford,redf^d 
Reds,redz 
Redskin,redskIn 
Redskins,redskInz 
Redwings,redwIGz 
Redwood,redwud 
Redwoods,redwudz 
Reebok,ribOk 
Reebok's,ribOks 
Reeboks,ribOks 
Reed,rid 
Reed's,ridz 
Reef,rif 
Reeve,riv 
Reeves,rivz 
Reform,rIf6rm 
Regal,rig4l 
Regarding,rIgOrdIG 
Regency,ridyInsi 
Reggie,redyi 
Region,ridyIn 
Regionals,ridyIn4lz 
Regis,ridyIs 
Registration,redyIstr3SIn 
Rehoboth,rI6bOF 
Reich,rYk 
Reicher,rYk^ 
Reid,rYd 
Reiner,rYn^ 
Remodeling,rImOd4lIG 
Ren,r2 
Renaissance,r2IsOns 
Render,r2d^ 
Renner,r2^ 
Reno,r26 
Rent,r2t 
Rental,r2t4l 
Repertory,rep^t6ri 
Report,rIp6rt 
Reports,rIp6rts 
Representative,reprIz2tItIv 
Representatives,reprIz2tItIvz 
Republic,rIp0blIk 
Republic's,rIp0blIks 
Republican,rIp0blIk4n 
Republicans,rIp0blIk4nz 
Republics,rIp0blIks 
Required,rIkwYrd 
Rescue,resky( 
Rescuers,resky(^z 
Research,rIs^ty 
Reserves,rIz^vz 
Resolution,rez4l(SIn 
Resonance,rezInIns 
Resources,rIs6rsIz 
Restaurant,rest4rOnt 
Restless,restlIs 
Resurrection,rez4rekSIn 
Retirement,rItYrmInt 
Retriever,rItriv^ 
Retriever's,rItriv^z 
Retrievers,rItriv^z 
Retrospective,retr4spektIv 
Reunion,riy(nyIn 
Revenge,rIv2dy 
Revenue,revIn( 
Review,rIvy( 
Reviewing,rIvy(IG 
Revival,rIvYv4l 
Revolution,rev4l(SIn 
Revolutionary,rev4l(SIn^i 
Rex,reks 
Rexes,reksIz 
Reynold's,r24ldz 
Reynolds,r24ldz 
Rhapsody,rAps4di 
Rhines,rYnz 
Rhode,r6d 
Rhodes,r6dz 
Rib,rIb 
Ribbon,rIb4n 
Ribs,rIbz 
Rica,rik4 
Rican,rik4n 
Ricans,rik4nz 
Rice,rYs 
Richard,rIty^d 
Richards,rIty^dz 
Richardson,rIty^ds4n 
Richardson's,rIty^ds4nz 
Richie,rItyi 
Richland,rItyl4nd 
Richland's,rItyl4ndz 
Richmond,rItym4nd 
Rick,rIk 
Rick's,rIks 
Rickey,rIki 
Ricksun,rIks0n 
Ricky,rIki 
Rico,rik6 
Riddle,rId4l 
Ride,rYd 
Riders,rYd^z 
Ridge,rIdy 
Ridgecrest,rIdykrest 
Riding,rYdIG 
Ridley's,rIdliz 
Rifle,rYf4l 
Right,rYt 
Rights,rYts 
Riley,rYli 
Rim,rIm 
Rin,rIn 
Ringwald,rIGwold 
Rio,ri6 
Riodosa,ri6d6s4 
Rios,ri6s 
Ripley,rIpli 
Rising,rYzIG 
Risk,rIsk 
Rita,rit4 
Rita's,rIt4z 
River,rIv^ 
Riverside,rIv^sYd 
Riverview,rIv^vy( 
Riviera,rIvi^4 
Road,r6d 
Roanoke,r64n6k 
Rob,rOb 
Robb,rOb 
Robber's,rOb^z 
Robbie,rObi 
Robby,rObi 
Robert,rOb^t 
Robert's,rOb^ts 
Roberto,r4b^t6 
Roberts,rOb^ts 
Roberts',rOb^ts 
Roberts's,rOb^tsIz 
Robin,rObIn 
Robinson,rObIns4n 
Robinson's,rObIns4nz 
Robocop,r6b6kOp 
Robot,r6bOt 
Roby,r6bi 
Rocco's,rOk6z 
Rochester,rOtyest^ 
Rochester's,rOtyest^z 
Rock,rOk 
Rockabilly,rOk4bIli 
Rockets,rOkIts 
Rockford,rOkf^d 
Rockies,rOkiz 
Rockport,rOkp6rt 
Rocks,rOks 
Rockville,rOkvIl 
Rockwell,rOkw7 
Rocky,rOki 
Rod,rOd 
Rodeo,r6d36 
Rodgers,rOdy^z 
Rodman,rOdm4n 
Rodney,rOdni 
Rodolfo's,r4dolf6z 
Rodriguez,rOdrigez 
Roebuck,r6b0k 
Roger,rOdy^ 
Rogers,rOdy^z 
Rolando,r6lOnd6 
Roll,r6l 
Rollie,roli 
Rolling,r6lIG 
Rolls,r6lz 
Rolly,roli 
Rolm,r6lm 
Roma's,r6m4z 
Romain,r6m3n 
Roman,r6m4n 
Romance,r6mAns 
Romancing,r6mAnsIG 
Romanesque,r6m4nesk 
Romania,r6m3ni4 
Romanian,r6m3niIn 
Romantic,r6mAntIk 
Rome,r6m 
Rome's,r6ms 
Romeo,r6mi6 
Ron,rOn 
Ronald,rOn4ld 
Ronnie,rOni 
Ronnie's,rOniz 
Room,r(m 
Rooney,r(ni 
Roosevelt,r6z4v7t 
Roosevelt's,r6z4v7ts 
Rooster,r(st^ 
Rosa,r6z4 
Rosalyn,rOz4lIn 
Rosanne,r6zAn 
Rose,r6z 
Rose's,r6zIz 
Roseanne,r6zAn 
Rosebird,r6sb^d 
Rosebud,r6zb0d 
Rosencranz,r6zInkrAnts 
Roses,r6zIz 
Rosie,r6zi 
Ross,ros 
Rossa,rOs4 
Rossini,rOsini 
Roswell,rOzw7 
Rosy,r6zi 
Rotel,r6t7 
Rotten,rOt2 
Rottweiler,rOtwYl^ 
Rouge,r(Z 
Roughness,r0fnIs 
Roulette,r(let 
Roundrock,r5ndrOk 
Route,r5t 
Routh,r5F 
Rover,r6v^ 
Row,r6 
Rowlett,r5lIt 
Rowlett's,r5lIts 
Rows,r6z 
Roxanne,roksAn 
Roxanne's,roksAnz 
Roy,r8 
Royal,r84l 
Royals,r84lz 
Royce,r8s 
Royces,r8sIz 
Rs,Orz 
Ruben,r(bIn 
Ruby's,r(biz 
Ruckner,r0kn^ 
Rudman,r0dm4n 
Rugged,r0gId 
Run,r0n 
Runner,r0n^ 
Runners,r0n^z 
Rush,r0S 
Russ,r0s 
Russia,r0S4 
Russia's,r0S4z 
Russian,r0SIn 
Russians,r0SInz 
Rusty,r0sti 
Ruth,r(F 
Rutherford,r0D^f^d 
Ryan,rYIn 
Ryan's,rYInz 
Ryder,rYd^ 
Rypien,rIp2 
S,es 
S-10,est2 
S-10s,est2z 
S10,est2 
SAC,sAk 
SADD,sAd 
SAE,es3i 
SAT,es3ti 
SAT's,sAtz 
SATs,sAts 
SC,essi 
SDS,esdies 
SE,esi 
SEATO,si3t6 
SELA,s7O 
SEPTA,esipiti3 
SHOs,es3ty6z 
SI,esY 
SMU,es9y( 
SMU's,e9y( 
SPCA,espisi3 
SRI,esOrY 
ST,esti 
SX,eseks 
Saab,sOb 
Saab's,sObs 
Saabs,sObz 
Sabbath,sAb4F 
Saberhagen,sOb^h3g4n 
Sabine,s4bin 
Sable,s3b4l 
Sables,s3b4lz 
Sabre,s3b^ 
Sachse,sAks4 
Sacramento,sAkr4m2t6 
Sadaam,s4dOm 
Saddam,sOdOm 
Saddle,sAd7 
Saddles,sAd7z 
Safeway,s3fw3 
Saga,sOg4 
Sagan,s3g4n 
Sagar's,s3gOrz 
Saginaw,sAgIno 
Saigon,sYgOn 
Sailor,s3l^ 
Saint,s3nt 
Saints,s3nts 
Salads,sAlIdz 
Salem,s3l4m 
Salina,s4lin4 
Salinas,s4lin4s 
Salisbury,solzb^i 
Sally,sAli 
Sally's,sAliz 
Salsa,sols4 
Salt,solt 
Salvador,sAlv4d6r 
Salvadorian,sAlv4d6riIn 
Salvadorians,sAlv4d6riInz 
Salvation,sAlv3SIn 
Salzburg,soltsb^g 
Sam,sAm 
Sam's,sAmz 
Samantha,s4mAnF4 
Sammy,sAmi 
Samna,sAmn4 
Sampson,sAmps4n 
Samsung,sAms0G 
San,sAn 
Sand,sAnd 
Sanders,sAnd^z 
Sandinistas,sAndInist4z 
Sandlin,sAndlIn 
Sandra,sOndr4 
Sandy,sAndi 
Sanger,sAG^ 
Sangre,sAG^ 
Santa,sAnt4 
Santa's,sAnt4z 
Santana,sAntAn4 
Sao,s5 
Sarah,sAr4 
Saran,sIrAn 
Sarandon,s4rAnd4n 
Sarasota,sAr4s6t4 
Sarum,sAr4m 
Saskatchewan,sAskAty4wOn 
Saskatoon,sOsk4t(n 
Satan,s3t2 
Saturday,sAt^d3 
Saturday's,sAt^d3z 
Saturdays,sAt^d3z 
Saturn,sAt^n 
Saturns,sAt^nz 
Saudi,sodi 
Saudi's,sodiz 
Saudis,sodiz 
Savage,sAvIdy 
Save,s3v 
Saved,s3vd 
Savings,s3vIGz 
Savior,s3vy^ 
Savvy,sAvi 
Saxon,sAks4n 
Say,s3 
Sayers,s3^z 
Scandinavian,skAndIn3viIn 
Scantron,skAntrOn 
Scarborough,skOrb^r6 
Scarlet,skOrlIt 
Scarlett,skOrlIt 
Scenes,sinz 
Schipperkes,SIp^kiz 
Schlage,SlOg4 
Schlitterbahn,SlIt^bOn 
Schlotzky's,SlOtskiz 
Schmidt,SmIt 
Schnapps,SnOps 
Schnauzer,Sn5z^ 
Schnauzers,Sn5z^z 
Schnoodle,Sn(d7 
Scholar,skOl^ 
Scholars,skOl^z 
School,sk(l 
Schools,sk(lz 
Schramm,SrAm 
Schroeder's,Sr6d^z 
Schubert,S(b^t 
Schwartzkopf,sH6rtskOf 
Schwarzenegger,sH6rtsIneg^ 
Schwarzenegger's,sH6rtsIneg^z 
Schwinn,sHIn 
Science,sYIns 
Sciences,sYInsIz 
Scientific,sYIntIfIk 
Scissorhands,sIz^hAndz 
Scoop,sk(p 
Scorpions,sk6rpiInz 
Scotch,skOty 
Scotchbrite,skOtybrYt 
Scotia,sk6S4 
Scotland,skOtl4nd 
Scott,skOt 
Scottish,skOtIS 
Scottsdale,skOtsd3l 
Scotty,skOti 
Scoundrels,sk5ndr4lz 
Scout,sk5t 
Scouter,sk5t^ 
Scouting,sk5tIG 
Scouts,sk5ts 
Scrabble,skrAb4l 
Scrooge,skr(dy 
Scruggs,skr0gz 
Scud,sk0d 
Scuds,sk0dz 
Scupper,sk0p^ 
Scyene,sin 
SeVille,s4vIl 
Sea,si 
Seabrook,sibruk 
Seagal,sIgOl 
Seagate,sig3t 
Seagull,sig0l 
Seahawks,sIhoks 
Seal,sil 
Sean,Son 
Search,s^ty 
Sears,sirz 
Seashore,siS6r 
Season,sizIn 
Seasons,sizInz 
Seattle,siAt4l 
Seattle's,siAt4lz 
Sebastian,s4bAStyIn 
Seclor,sekl6r 
Secorski,s4k6rski 
Secret,sikrIt 
Secretary,sekrIt3ri 
Security,s4kyurIti 
Sedan,sIdAn 
Seder,s3d^ 
Seder's,s3d^z 
Sedonia,sId6ni4 
Seeing,siIG 
Seekers,sik^z 
Segal,sig4l 
Seguin,segwIn 
Selectric,s4lektrIk 
Selenium,s4l2i4m 
Self,s7f 
Semiconductors,s9Yk4nd0kt^z 
Semitic,s9ItIk 
Senate,s2It 
Senator,s2It^ 
Senators,s2It^z 
Senegal,s2Ig4l 
Senegalese,s2Ig4liz 
Senior,siny^ 
Seniors,siny^z 
Senor,siny6r 
Sentra,s2tr4 
Separate,sep4r3t 
September,sept9b^ 
September's,sept9b^z 
Septien,septi2 
Sequoia,sIk84 
Sequoias,sIkw84z 
Sergeant,sOrdyInt 
Serger,s^g^ 
Series,siriz 
Serve,s^v 
Served,s^vd 
Service,s^vIs 
Services,s^vIsIz 
Sesame,ses4mi 
Seuss,s(s 
Seuss's,s(sIz 
Seven,sevIn 
Seventh,sevInF 
Seventy,sevInti 
Severinsen,sevrIns4n 
Seville,s4vIl 
Sevren,sevrIn 
Sex,seks 
Sfuzzi,sf(tsi 
Shack,SAk 
Shade,S3d 
Shadow,SAd6 
Shadows,SAd6z 
Shah,SO 
Shaken,S3k4n 
Shaker,S3k^ 
Shakespeare,S3kspir 
Shakespeare's,S3kspirz 
Shaklee,SAkli 
Shame,S3m 
Shamir,S4mir 
Shanghai,SAGhY 
Shankar,SAGk^ 
Shannon,SAnIn 
Shannon's,SAnInz 
Shanty,SAnti 
Sharif,SOrif 
Sharon,SArIn 
Sharp,SOrp 
Shasta,SAst4 
Shatner,SAtn^ 
Shaw,S5 
Shawcross,SokrOs 
Shay,S3 
She,Si 
Sheba,Sib4 
Sheen,Sin 
Sheetrock,SitrOk 
Sheila,Sil4 
Shelby,S7bi 
Sheldon,S7d2 
Sheldon's,S7d2z 
Shell,S7 
Shelter,S7t^ 
Sheltie,S7ti 
Shelties,S7tiz 
Shelty,S7ti 
Shenandoah,S24nd64 
Shepherd,Sep^d 
Shepherds,Sep^dz 
Shepton,Sept4n 
Sheraton,S^4t4n 
Sherbrook,S^bruk 
Sherlock,S^lOk 
Sherman,S^m4n 
Sherman's,S^m4nz 
